id_geometrie,territoire_propose,description_slug,alert_slug_propose,message_strapi,message_content,strapi_source,strapi_reference,label_propose,titre_propose,nom_fichier_geometrie,communes
13,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-Hirschberg,"Message : Sur le secteur  « Le Hirschberg », la zone d'activité le long de laRD45 doit devenir un écran limitant les nuisances sonores pour les habitations voisines.
Il est recommandé de définir le plan d'aménagement et les hauteurs de bâti en ce sens.
Docs sources : OAP
références : page 11","Sur le secteur  « Le Hirschberg », la zone d'activité le long de laRD45 doit devenir un écran limitant les nuisances sonores pour les habitations voisines.
Il est recommandé de définir le plan d'aménagement et les hauteurs de bâti en ce sens.",OAP,page 11,ZONE SOUMISE AU BRUIT,Écran anti-bruit RD45 – secteur Hirschberg,13.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
15,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-etoile-ilot,"Message : Sur le « Secteur Étoile / Lombardie » il est prescrit d'assurer la continuité du front bâti Nord, afin de protèger le cœur d'îlot contre le bruit.
Docs sources : OAP
références : page 440","Sur le « Secteur Étoile / Lombardie » il est prescrit d'assurer la continuité du front bâti Nord, afin de protèger le cœur d'îlot contre le bruit.",OAP,page 440,ZONE SOUMISE AU BRUIT,"Front bâti Nord contre le bruit, Étoile/Lombardie",15.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
16,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-Heyritz,"Message : Sur le  « Secteur Heyritz », il est recommandé de prendre en compte la pollution sonore parmi les contraintes environnementales du site, aux côtés de l'inondabilité, de la qualité de l'air et de la qualité des sols. Cette recommandation ne fixe pas de seuil ni de mesure technique précise : consultez un acousticien pour définir les dispositions adaptées à votre projet.
Docs sources : OAP
références : page 449","Sur le  « Secteur Heyritz », il est recommandé de prendre en compte la pollution sonore parmi les contraintes environnementales du site, aux côtés de l'inondabilité, de la qualité de l'air et de la qualité des sols. Cette recommandation ne fixe pas de seuil ni de mesure technique précise : consultez un acousticien pour définir les dispositions adaptées à votre projet.",OAP,page 449,ZONE SOUMISE AU BRUIT,Pollution sonore à prendre en compte – Secteur Heyritz,16.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
17,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-Musau-Neudorf,"Message : Sur le secteur ""Musau/Neudorf"", il est recommandé de prendre en compte les contraintes de bruit et de pollution dans l'aménagement du quartier. Intégrez cet enjeu dès la conception de votre projet en faisant appel à un spécialiste en acoustique.
Docs sources : OAP
références : page 458","Sur le secteur ""Musau/Neudorf"", il est recommandé de prendre en compte les contraintes de bruit et de pollution dans l'aménagement du quartier. Intégrez cet enjeu dès la conception de votre projet en faisant appel à un spécialiste en acoustique.",OAP,page 458,ZONE SOUMISE AU BRUIT,Bruit et pollution - secteur Musau/Neudorf,17.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
18,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-Romains,"Message : Sur le secteur « Porte des Romains » il est recommandé d'intégrer le bruit comme une contrainte dès la conception du projet. Aucune mesure technique précise n'est fixée à ce stade, mais cette vigilance doit guider vos choix d'aménagement. Faites appel à un spécialiste en acoustique pour vous aider à définir les mesures à mettre en oeuvre.
Docs sources : OAP
références : page 483","Sur le secteur « Porte des Romains » il est recommandé d'intégrer le bruit comme une contrainte dès la conception du projet. Aucune mesure technique précise n'est fixée à ce stade, mais cette vigilance doit guider vos choix d'aménagement. Faites appel à un spécialiste en acoustique pour vous aider à définir les mesures à mettre en oeuvre.",OAP,page 483,ZONE SOUMISE AU BRUIT,Bruit à anticiper – secteur Porte des Romains,18.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
19,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-Petit-Marais,"Message : Sur le « Secteur Petit-Marais - Singrist », deux sources de bruit sont identifiées par les documents d'urbanisme : 
- la voie ferrée au nord,
- la route de Schirmeck au sud. 
Anticipez la gestion de ces nuisances dès la conception, notamment pour les bâtiments les plus proches de ces axes. Un acousticien peut vous aider à identifier les solutions adaptées à votre implantation.
Docs sources : OAP
références : page 510","Sur le « Secteur Petit-Marais - Singrist », deux sources de bruit sont identifiées par les documents d'urbanisme : 
- la voie ferrée au nord,
- la route de Schirmeck au sud. 
Anticipez la gestion de ces nuisances dès la conception, notamment pour les bâtiments les plus proches de ces axes. Un acousticien peut vous aider à identifier les solutions adaptées à votre implantation.",OAP,page 510,ZONE SOUMISE AU BRUIT,Nuisances sonores secteur Petit-Marais - Singrist,19.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
20,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-Epsan,"Message : Sur le secteur EPSAN, il est recommandé de créer une frange végétalisée en limite de la M301 afin d'atténuer les nuisances sonores et la pollution de l'air liées au trafic routier.
Docs sources : OAP
références : page 622","Sur le secteur EPSAN, il est recommandé de créer une frange végétalisée en limite de la M301 afin d'atténuer les nuisances sonores et la pollution de l'air liées au trafic routier.",OAP,page 622,ZONE SOUMISE AU BRUIT,Frange végétalisée recommandée en limite de M301,20.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
21,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-air-bruit,"Message : Cette parcelle se situe en zone tampon et/ou en zone de vigilance qualité de l'air et bruit routier.
-  Il est recommandé d'implanter en première ligne un bâtiment haut, d'au moins R+3, pour créer un effet barrière contre le bruit et la pollution : vérifiez que cette hauteur est autorisée par le règlement en vigueur avant de concevoir votre projet.
- Il est prescrit pour les façades donnant directement sur un axe routier signalé au plan vigilance  : 
    - que tout espaces extérieurs (balcons, loggias), doit être équipé d'un dispositif permettant de le fermer,
    - que les prises d'air de ventilation ne soient pas présentes sur ces façades.
Docs sources : OAP / règlement écrit
références : page 121 / Article 15, alinéa 6","Cette parcelle se situe en zone tampon et/ou en zone de vigilance qualité de l'air et bruit routier.
-  Il est recommandé d'implanter en première ligne un bâtiment haut, d'au moins R+3, pour créer un effet barrière contre le bruit et la pollution : vérifiez que cette hauteur est autorisée par le règlement en vigueur avant de concevoir votre projet.
- Il est prescrit pour les façades donnant directement sur un axe routier signalé au plan vigilance  : 
    - que tout espaces extérieurs (balcons, loggias), doit être équipé d'un dispositif permettant de le fermer,
    - que les prises d'air de ventilation ne soient pas présentes sur ces façades.",OAP / règlement écrit,"page 121 / Article 15, alinéa 6",ZONE SOUMISE AU BRUIT,Zone tampon : bâti barrière et façades protégées,21.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
22,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-route-entzheim,"Message : Le secteur « Entrée Nord route d'Entzheim » est exposé au bruit de l'autoroute A35. Il est prescrit de travailler : 
- l'implantation, 
- la hauteur, 
- l'orientation des bâtiments 
pour limiter l'exposition des populations. 
Faites appel à un spécialiste acoustique pour vous aider à définir les mesures à mettre en oeuvre.
Docs sources : OAP
références : page 102","Le secteur « Entrée Nord route d'Entzheim » est exposé au bruit de l'autoroute A35. Il est prescrit de travailler : 
- l'implantation, 
- la hauteur, 
- l'orientation des bâtiments 
pour limiter l'exposition des populations. 
Faites appel à un spécialiste acoustique pour vous aider à définir les mesures à mettre en oeuvre.",OAP,page 102,ZONE SOUMISE AU BRUIT,Bruit A35 - secteur Entrée Nord route d'Entzheim,22.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
23,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-ecran-equipement-festif,"Message : Sur la partie Nord du secteur « Gare Entrée Ouest », il est recommandé d'utiliser la construction d'un équipement de type ""festif"" pour protéger les habitations des nuisances sonores de la M353. Attention toutefois à ne pas créer des nuisances de type ""bruit de voisinage"" ou ""bruit de musique amplifiée"".
Docs sources : OAP
références : page 113","Sur la partie Nord du secteur « Gare Entrée Ouest », il est recommandé d'utiliser la construction d'un équipement de type ""festif"" pour protéger les habitations des nuisances sonores de la M353. Attention toutefois à ne pas créer des nuisances de type ""bruit de voisinage"" ou ""bruit de musique amplifiée"".",OAP,page 113,ZONE SOUMISE AU BRUIT,Protection sonore secteur Gare Entrée Ouest,23.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
24,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-deux-rives,"Message : Le secteur « Cœur métropolitain Deux-Rives » présente plusieurs contraintes liées à l'activité portuaire : risques technologiques, trafics routier et ferroviaire, nuisances acoustiques et pollution des sols. Il est recommandé de prendre en compte ces éléments dans vos choix programmatiques. Rapprochez-vous des services d'urbanisme pour affiner votre projet.
Docs sources : OAP
références : page 203","Le secteur « Cœur métropolitain Deux-Rives » présente plusieurs contraintes liées à l'activité portuaire : risques technologiques, trafics routier et ferroviaire, nuisances acoustiques et pollution des sols. Il est recommandé de prendre en compte ces éléments dans vos choix programmatiques. Rapprochez-vous des services d'urbanisme pour affiner votre projet.",OAP,page 203,ZONE SOUMISE AU BRUIT,Contraintes portuaires secteur Cœur métropolitain Deux-Rives,24.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
