id_geometrie,territoire_propose,description_slug,alert_slug_propose,message_strapi,nom_fichier_geometrie,communes
13,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le secteur  « Le Hirschberg », la zone d'activité le long de laRD45 doit devenir un écran limitant les nuisances sonores pour les habitations voisines.
Il est recommandé de définir le plan d'aménagement et les hauteurs de bâti en ce sens.
Docs sources : OAP
références : page 11",13.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
15,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le « Secteur Étoile / Lombardie » il est prescrit d'assurer la continuité du front bâti Nord, afin de protèger le cœur d'îlot contre le bruit.
Docs sources : OAP
références : page 440",15.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
16,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le  « Secteur Heyritz », il est recommandé de prendre en compte la pollution sonore parmi les contraintes environnementales du site, aux côtés de l'inondabilité, de la qualité de l'air et de la qualité des sols. Cette recommandation ne fixe pas de seuil ni de mesure technique précise : consultez un acousticien pour définir les dispositions adaptées à votre projet.
Docs sources : OAP
références : page 449",16.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
17,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le secteur ""Musau/Neudorf"", il est recommandé de prendre en compte les contraintes de bruit et de pollution dans l'aménagement du quartier. Intégrez cet enjeu dès la conception de votre projet en faisant appel à un spécialiste en acoustique.
Docs sources : OAP
références : page 458",17.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
18,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le secteur « Porte des Romains » il est recommandé d'intégrer le bruit comme une contrainte dès la conception du projet. Aucune mesure technique précise n'est fixée à ce stade, mais cette vigilance doit guider vos choix d'aménagement. Faites appel à un spécialiste en acoustique pour vous aider à définir les mesures à mettre en oeuvre.
Docs sources : OAP
références : page 483",18.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
19,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le « Secteur Petit-Marais - Singrist », deux sources de bruit sont identifiées par les documents d'urbanisme : 
- la voie ferrée au nord,
- la route de Schirmeck au sud. 
Anticipez la gestion de ces nuisances dès la conception, notamment pour les bâtiments les plus proches de ces axes. Un acousticien peut vous aider à identifier les solutions adaptées à votre implantation.
Docs sources : OAP
références : page 510",19.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
20,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le secteur EPSAN, il est recommandé de créer une frange végétalisée en limite de la M301 afin d'atténuer les nuisances sonores et la pollution de l'air liées au trafic routier.
Docs sources : OAP
références : page 622",20.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
21,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Cette parcelle se situe en zone tampon et/ou en zone de vigilance qualité de l'air et bruit routier.
-  Il est recommandé d'implanter en première ligne un bâtiment haut, d'au moins R+3, pour créer un effet barrière contre le bruit et la pollution : vérifiez que cette hauteur est autorisée par le règlement en vigueur avant de concevoir votre projet.
- Il est prescrit pour les façades donnant directement sur un axe routier signalé au plan vigilance  : 
    - que tout espaces extérieurs (balcons, loggias), doit être équipé d'un dispositif permettant de le fermer,
    - que les prises d'air de ventilation ne soient pas présentes sur ces façades.
Docs sources : OAP / règlement écrit
références : page 121 / Article 15, alinéa 6",21.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
22,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Le secteur « Entrée Nord route d'Entzheim » est exposé au bruit de l'autoroute A35. Il est prescrit de travailler : 
- l'implantation, 
- la hauteur, 
- l'orientation des bâtiments 
pour limiter l'exposition des populations. 
Faites appel à un spécialiste acoustique pour vous aider à définir les mesures à mettre en oeuvre.
Docs sources : OAP
références : page 102",22.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
23,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur la partie Nord du secteur « Gare Entrée Ouest », il est recommandé d'utiliser la construction d'un équipement de type ""festif"" pour protéger les habitations des nuisances sonores de la M353. Attention toutefois à ne pas créer des nuisances de type ""bruit de voisinage"" ou ""bruit de musique amplifiée"".
Docs sources : OAP
références : page 113",23.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
24,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Le secteur « Cœur métropolitain Deux-Rives » présente plusieurs contraintes liées à l'activité portuaire : risques technologiques, trafics routier et ferroviaire, nuisances acoustiques et pollution des sols. Il est recommandé de prendre en compte ces éléments dans vos choix programmatiques. Rapprochez-vous des services d'urbanisme pour affiner votre projet.
Docs sources : OAP
références : page 203",24.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
25,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le « Secteur Huron » il est recommandé de prendre en compte les nuisances sonores dues à la route de Lyon, au tramway et à la salle des fêtes dans la conception de votre projet. Prévoyez des dispositions constructives adaptées à ces nuisances, et prenant également en compte les exigences de hauteur des constructions. 
Consultez un acousticien pour définir les dispositions les mieux adaptées à votre projet.
Docs sources : OAP
références : page 165",25.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
26,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le ""secteur Sud de la ZAC Parc d'Innovation"", il est prescrit de respecter un recul inconstructible de 30 mètres par rapport à l'axe de la M468.
Docs sources : OAP
références : page 190",26.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
27,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Sur le secteur « Zone commerciale Nord », il est prescrit de ne pas implenter les installations techniques d'aspiration d'air (VMC) sur les façades donnant sur l'A4 et la D63.
Docs sources : OAP
références : page 270",27.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
28,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Le « Secteur du Schwemmloch » est exposé au bruit : 
- de la D223,
- de la D468,
- de la voie ferrée.
Il est recommandé d'en tenir compte dès la conception du projet en agissant sur : 
- le maillage des voies, 
- les ouvertures et fermetures visuelles, 
- l'implantation du bâti, 
- la hauteur du bâti.
Faites appel à un spécialiste acoustique pour vous accompagner sur votre projet.
Docs sources : OAP
références : page 233",28.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
29,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Le secteur Trissermatt est exposé aux nuisances sonores de la voie ferrée à l'Ouest. L'OAP communale de La Wantzenau recommande d'intégrer cette contrainte dès la conception de votre projet, en agissant sur : 
- le maillage des voies, 
- les ouvertures et fermetures visuelles, 
- l'implantation du bâti,
- la hauteur du bati. 
Faites appels à un spécialiste acoustique pour vous accompagner sur votre projet.
Docs sources : OAP
références : page 236",29.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
30,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Le secteur Niedermatt est exposé aux nuisances de la D1083 et de la voie ferrée. L'OAP communale recommande de protéger l'habitat de ces nuisances dès la conception du projet en agissant sur le bâti : 
- implantation générale (utilisation de bâtiments d'activité ou de stationnement comme écran), 
- implantations des installations technique (entrées d'air VMC), balcons et terasses sur les façades non orientées vers la D1083
- hauteur, 
- double peau
et sur l'organisation des voies. 
Elle recommande notamment de fermer les façades latérales Est et Oues pour limiter l'exposition au bruit de la voirie traversant le quartier. 
Associez un acousticien à votre projet pour définir les solutions les mieux adaptées
Docs sources : OAP / OAP
références : page 251 / page 251",30.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
31,Eurométropole de Strasbourg,,alert-EurometropoledeStrasbourg-,"Message : Votre parcelle est concernée par l'OAP intercommunale « Aménagements paysagers aux abords de l'A35 ». Cette OAP recommande de renforcer les protections naturelles déjà présentes (talus, végétation) contre le bruit, via un traitement paysager. Privilégiez une végétalisation sur plusieurs strates, dont au moins une strate arborée, pour atténuer les nuisances sonores.
Docs sources : OAP
références : page 290",31.geojson,"Achenheim, Bischheim, Blaesheim, Breuschwickersheim, Eckbolsheim, Eckwersheim, Entzheim, Eschau, Fegersheim, Geispolsheim, Hangenbieten, Holtzheim, Hœnheim, Illkirch-Graffenstaden, Kolbsheim, La Wantzenau, Lampertheim, Lingolsheim, Lipsheim, Mittelhausbergen, Mundolsheim, Niederhausbergen, Oberhausbergen, Oberschaeffolsheim, Osthoffen, Ostwald, Plobsheim, Reichstett, Schiltigheim, Souffelweyersheim, Strasbourg, Vendenheim, Wolfisheim"
